"","interviewee.id","interviewee.name","author.GRID","author.birthdate","author.town","author.gender.use","author.GRname","interviewee.birthdate","interviewee.town","interviewee.gender.use","interviewee.GRname","Date"
"1","10015","Kate Atkinson","13093",1918-02-01,"Edinburgh, Scotland","f","Muriel Spark",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"2","10015","Kate Atkinson","7935185",1858-08-15,"Kennington, Surrey","f","E. Nesbit",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"3","10015","Kate Atkinson","244787",NA,"","m","Gordon Corera",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"4","10015","Kate Atkinson","28244",1928-07-16,"Herne Hill, England","f","Anita Brookner",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"5","10015","Kate Atkinson","712939",NA,"","f","Constance Babington Smith",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"6","10015","Kate Atkinson","17598726",NA,"","m","Matthew Walker",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"7","10015","Kate Atkinson","8164",1832-01-27,"Daresbury, Cheshire, England","m","Lewis Carroll",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"8","10015","Kate Atkinson","4000",1943-05-08,"Thornaby-on-Tees, Yorkshire","f","Pat Barker",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"9","10015","Kate Atkinson","387955",1835-01-29,"Cleveland, Ohio","f","Susan Coolidge",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"10","10015","Kate Atkinson","176372",1978-07-24,"Boston","f","Madeline Miller",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"11","10015","Kate Atkinson","95840",1890-11-15,"Bury, Lancashire","f","Richmal Crompton",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"12","10015","Kate Atkinson","1265",1775-12-16,"Steventon Rectory, Hampshire","f","Jane Austen",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"13","10015","Kate Atkinson","3843",1859-03-08,"Edinburgh, Scotland","m","Kenneth Grahame",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"14","10015","Kate Atkinson","3222",1916-12-17,"Lincoln, England","f","Penelope Fitzgerald",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"15","10015","Kate Atkinson","253322",NA,"","f","Jenny Uglow",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"16","10015","Kate Atkinson","11783",1957-06-18,"Evanston, Illinois","m","Richard Powers",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"17","10015","Kate Atkinson","104015",1913-06-02,"Oswestry, Shropshire","f","Barbara Pym",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"18","10015","Kate Atkinson","53241",1912-07-03,"Reading, Berkshire, England","f","Elizabeth Taylor",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"19","10015","Kate Atkinson","1209",1873-12-17,"Merton, Surrey, England","m","Ford Madox Ford",1951-01-01,"York","f","Kate Atkinson",2018-09-06
"20","1124","Anthony Bourdain","100030",1950-05-26,"","m","David Ignatius",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"21","1124","Anthony Bourdain","25847",1948-12-13,"Escondido, California","m","Lester Bangs",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"22","1124","Anthony Bourdain","696805",1828-02-08,"Nantes","m","Jules Verne",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"23","1124","Anthony Bourdain","736430",NA,"","m","Michael Ruffino",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"24","1124","Anthony Bourdain","128382",1828-09-09,"Yasnaya Polyana, Tula","m","Leo Tolstoy",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"25","1124","Anthony Bourdain","27034",1933-12-28,"El Dorado, AR","m","Charles Portis",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"26","1124","Anthony Bourdain","17241",1532-11-30,"Guyenne","m","Michel de Montaigne",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"27","1124","Anthony Bourdain","70090",1915-12-13,"Los Gatos, California,","m","Ross Macdonald",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"28","1124","Anthony Bourdain","16897710",NA,"","m","Arthur Gordon Pym",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"29","1124","Anthony Bourdain","4624490",1809-01-19,"Boston, Massachusetts","m","Edgar Allan Poe",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"30","1124","Anthony Bourdain","1411964",1931-10-19,"Poole, Dorset, England","m","John le Carré",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"31","1124","Anthony Bourdain","54909",1953-01-01,"","m","Jerry Stahl",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"32","1124","Anthony Bourdain","822",1969-09-12,"Cleveland, Ohio","m","James Frey",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"33","1124","Anthony Bourdain","23194",1960-01-14,"","m","Edward St. Aubyn",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"34","1124","Anthony Bourdain","784866",1954-01-01,"","m","Donald Ray Pollock",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"35","1124","Anthony Bourdain","9226",1948-03-17,"Conway, South Carolina","m","William Gibson",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"36","1124","Anthony Bourdain","940746",1959-07-28,"Los Angeles, California","m","William T. Vollmann",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"37","1124","Anthony Bourdain","4176632",1874-01-25,"Paris","m","W. Somerset Maugham",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"39","1124","Anthony Bourdain","238",1934-12-05,"Sacramento, California","f","Joan Didion",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"41","1124","Anthony Bourdain","1191388",NA,"","f","Sarah Bakewell",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"42","1124","Anthony Bourdain","7010931",1930-11-15,"Shanghai","m","J.G. Ballard",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"44","1124","Anthony Bourdain","65135",1953-03-04,"Springfield, MO","m","Daniel Woodrell",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"46","1124","Anthony Bourdain","64540",1930-01-01," Massachusetts","m","Charles McCarry",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"47","1124","Anthony Bourdain","26619",1907-02-28,"","m","Milton Caniff",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"48","1124","Anthony Bourdain","3706",1903-06-25,"Motihari, Bihar","m","George Orwell",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"50","1124","Anthony Bourdain","4462369",1914-02-05,"St. Louis, Missouri","m","William S. Burroughs",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"51","1124","Anthony Bourdain","4544137",NA,"","m","Thomas Ricks",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"52","1124","Anthony Bourdain","14952354",1964-11-25,"Ellensburg, Washington","m","Mark Lanegan",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"53","1124","Anthony Bourdain","12940",1925-10-11,"New Orleans, Louisiana","m","Elmore Leonard",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"54","1124","Anthony Bourdain","2533",1904-10-02,"Berkhamsted, Hertfordshire","m","Graham Greene",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"56","1124","Anthony Bourdain","1150048",1904-10-18,"New York, NY","m","A.J. Liebling",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
"57","1124","Anthony Bourdain","15039066",1932-02-08,"","m","John Williams",1956-06-25,"New York City, New York","m","Anthony Bourdain",2017-11-22
